label,volume_voxels,centroid-0,centroid-1,centroid-2,nearest_neighbor_dist
1,596512.0,30.977941768145485,436.9457697414302,226.4463145753983,57.03599698673176
2,403871.0,25.872753923901445,363.20548640531257,262.6636871674371,40.65724926448223
3,732271.0,22.77566911703454,410.4223641247571,339.1193711071448,55.61234939259232
4,161894.0,21.17239057655009,327.5194448219205,203.0250163687351,41.044586214021386
5,130357.0,52.78736086286122,474.83506064116233,325.00633644530024,34.79662202219895
6,39657.0,10.728723806641955,516.9939481050004,274.13465466374157,45.4572910694377
7,206803.0,35.59402426463833,503.8649487676678,218.39569058475942,28.737608755142897
8,324656.0,36.24876792666699,528.2520668030161,312.1082530432211,43.853373312928056
9,9829.0,34.45447146200021,486.20510733543597,297.70373384881475,34.79662202219895
10,81661.0,80.73401011498757,509.24301686239454,310.3425992823992,35.01598123296518
11,139702.0,76.57979842808264,446.27774119196573,284.5585961546721,32.46086829854753
12,212409.0,73.04671647623218,545.2344439265756,200.99798501946717,36.179169160547346
13,57347.0,33.14028632709645,519.6477409454723,194.50567597258794,28.737608755142897
14,83164.0,81.42686739454572,487.4253883892069,246.96573036409984,28.747346567743378
15,184344.0,56.408133706548625,571.7286811613071,286.6011098815258,35.51513737291077
16,48690.0,85.31182994454713,479.9760731156295,274.99537892791125,29.261688787061512
17,101846.0,95.30820061661724,523.8159279696797,254.4707794120535,34.4869985957891
18,18087.0,81.30917233372035,484.39514568474596,218.37878033947032,28.396181068900326
19,111424.0,95.34795914704193,569.8371535755313,247.80209829121193,28.730624754327682
20,51134.0,97.20929322955372,535.2502444557438,293.66003050807683,28.074859675735233
21,96415.0,49.59172327957268,558.6172794689624,241.2184722294249,32.37068709321124
22,44002.0,10.663492568519613,191.10494977501023,349.27916912867596,26.448562037975528
23,38097.0,9.638029241147597,214.4383547260939,382.5931175683125,27.57784376218494
24,11994.0,68.39836584959146,525.9671502417875,275.93204935801236,34.4869985957891
25,5420.0,83.27546125461255,459.1841328413284,231.2970479704797,28.396181068900326
26,24871.0,65.97740340155201,417.9183386273169,302.9289533995416,21.675456593230564
27,60351.0,48.440771486802205,601.6267833175921,307.86533777402195,25.76025802146763
28,38196.0,8.38737040527804,200.32958948581003,224.2710231437847,18.88185517139408
29,37779.0,94.57852245956748,591.582439979883,300.5760078350406,28.793721041389862
30,39630.0,64.60058036840778,595.4880393641181,187.655639666919,22.544357448193107
31,25581.0,55.77999296352762,577.5669051248974,206.244321957703,27.285690826786944
